TransactionID,Salesperson,State,Month,Type,Group,Part,Sales,Margin,Quantity
26,Farlee Broszkiewicz,,3/7/2020,Type B,Group 3,Part 3,$4609903.67,67.51,704
27,Gordon Houndesome,,12/18/2020,Type C,Group 1,Part 3,$5232923.12,54.45,342
28,Debby McGrill,,11/22/2020,Type B,Group 2,Part 2,$9139053.31,2.4,426
29,Melisse O'Lennachain,,5/27/2020,Type C,Group 1,Part 1,$5618634.45,18.33,929
30,Genovera Lyffe,Lisboa,12/11/2020,Type C,Group 3,Part 3,$8831796.95,82.84,912
31,Dasya Gatheral,,9/12/2020,Type C,Group 3,Part 3,$5410781.50,37.36,225
32,Maureene Mughal,,12/25/2020,Type C,Group 2,Part 2,$9231991.12,21.92,500
33,Roma Petrillo,,3/13/2020,Type A,Group 2,Part 3,$6863739.84,12.14,650
34,Antin Blinkhorn,Lisboa,10/4/2020,Type B,Group 2,Part 2,$912851.25,94.14,291
35,Hanny Blowes,Porto,12/28/2020,Type C,Group 3,Part 3,$5134015.67,58.12,527
36,Derby Nuccii,,5/15/2020,Type C,Group 2,Part 2,$3596129.60,22.5,578
37,Catherin Howlin,,1/17/2020,Type B,Group 2,Part 2,$6495846.61,8.86,183
38,Claiborn Shannon,,2/4/2020,Type B,Group 2,Part 3,$1975949.49,3.76,908
39,Niccolo Mordacai,,6/4/2020,Type A,Group 3,Part 1,$6642488.68,58.96,489
40,Abbe Hollerin,,5/18/2020,Type C,Group 3,Part 3,$569709.02,14.01,474
41,Blondie Shayler,,1/21/2020,Type A,Group 2,Part 3,$5174471.36,83.18,21
42,Rosalie Corfield,,3/5/2020,Type B,Group 3,Part 1,$6608695.00,59.4,202
43,Kimbra Ovesen,,1/30/2020,Type B,Group 1,Part 3,$3811763.64,44.45,33
44,Darrel Varren,Michigan,7/1/2020,Type C,Group 1,Part 1,$5869946.26,13.32,719
45,Honey Fannin,,5/14/2020,Type C,Group 1,Part 2,$9896036.13,56.65,152
46,Stevana Abby,Västra Götaland,3/24/2020,Type A,Group 3,Part 1,$9255585.84,50.22,833
47,Zulema Streeting,,8/24/2020,Type B,Group 2,Part 1,$5058140.84,56.27,313
48,Allegra Camelia,,3/31/2020,Type A,Group 2,Part 2,$7204938.61,90.65,317
49,Sherry Woodyatt,,4/25/2020,Type A,Group 3,Part 3,$5614361.78,18.02,474
50,Bay Rosenfeld,,6/3/2020,Type C,Group 1,Part 2,$5205487.21,7.69,832
51,Avis Keeble,Santarém,1/19/2020,Type A,Group 3,Part 3,$724369.57,80.78,668
52,L;urette Kilbourne,,5/27/2020,Type A,Group 2,Part 2,$2427834.45,7.33,83
53,Rafael Strass,,11/30/2020,Type A,Group 2,Part 2,$7047850.94,95.12,532
54,Rosy O'Loinn,,3/11/2020,Type A,Group 3,Part 1,$2977627.23,22.21,710
55,Rosina Kermannes,,11/5/2020,Type B,Group 3,Part 2,$1424673.35,90.87,814
56,Quinta Mapples,,7/31/2020,Type A,Group 2,Part 3,$8802779.91,78.83,802
57,Malva Dunseath,,10/19/2020,Type B,Group 1,Part 3,$5312228.44,51.66,913
58,Conni Cleghorn,,1/29/2020,Type B,Group 2,Part 2,$5453327.67,47.54,356
59,Bret Quogan,,7/15/2020,Type A,Group 1,Part 2,$4195396.36,99.08,823
60,Derick Fitton,,7/5/2020,Type B,Group 2,Part 1,$4603364.49,79.75,888
61,Gwenni Boddam,,9/22/2020,Type B,Group 2,Part 3,$9343052.34,90.19,99
62,Emogene Kidde,,7/3/2020,Type C,Group 1,Part 3,$6058973.16,18.97,981
63,Robenia Gridon,Midi-Pyrénées,2/28/2020,Type C,Group 2,Part 1,$29126.16,9.61,575
64,Wiley Tredwell,Saskatchewan,2/12/2020,Type C,Group 1,Part 3,$2210039.25,18.96,237
65,Emmalyn Eveleigh,,3/3/2020,Type A,Group 1,Part 3,$8662184.03,34.56,87
66,Fancy Ouver,,5/13/2020,Type B,Group 1,Part 1,$3719830.29,79.49,474
67,Brietta Kas,,12/29/2020,Type B,Group 2,Part 2,$5922197.19,57.93,775
68,Inga Arson,Québec,9/18/2020,Type A,Group 1,Part 1,$8997912.56,50.61,12
69,Tommie Janda,,1/13/2020,Type A,Group 1,Part 1,$4314937.11,37.71,160
70,Jessy Buret,Östergötland,3/15/2020,Type C,Group 2,Part 1,$2675458.53,36.88,705
71,Ddene Chatt,,8/6/2020,Type C,Group 2,Part 1,$6450054.48,45.03,324
72,Bo Kender,,4/9/2020,Type C,Group 1,Part 2,$8966677.36,89.3,805
73,Kaile Hundall,,7/1/2020,Type C,Group 2,Part 3,$8451505.21,48.18,235
74,Minnaminnie Kupisz,,2/20/2020,Type C,Group 3,Part 1,$6255485.44,44.39,351
75,Alfredo Morcombe,,9/29/2020,Type C,Group 1,Part 3,$4248222.82,67.44,417
76,Hercules Stockport,,5/28/2020,Type C,Group 1,Part 1,$3840159.26,45.66,607
77,Sherye Toffler,,11/4/2020,Type A,Group 2,Part 2,$7154772.83,87.18,863
78,Noelyn Saunier,,9/16/2020,Type A,Group 2,Part 1,$6468015.21,62.81,783
79,Roze Woodruffe,,4/11/2020,Type C,Group 3,Part 2,$1884358.20,61.95,682
80,Randall Balassi,,10/24/2020,Type C,Group 2,Part 1,$7875872.89,53.06,851
81,Valeria Poluzzi,,5/16/2020,Type A,Group 2,Part 3,$651752.74,27.42,132
82,Allegra Garrick,,8/30/2020,Type A,Group 3,Part 2,$3442279.10,24.96,507
83,Jordain McPhillimey,Île-de-France,1/17/2020,Type B,Group 2,Part 1,$7144558.49,12.86,164
84,Wayne Grigoli,,4/25/2020,Type C,Group 1,Part 3,$4411449.50,35.32,58
85,Jesse Lamp,,1/30/2020,Type B,Group 1,Part 1,$2615694.47,21.82,193
86,Langsdon Camerati,,2/5/2020,Type C,Group 3,Part 1,$1059337.42,84.8,717
87,Felicity Lenoir,,9/22/2020,Type B,Group 2,Part 3,$4556101.29,93.5,596
88,Dulciana Pescod,,7/8/2020,Type B,Group 3,Part 1,$2693911.64,17.51,369
89,Kathye Middlemist,,5/15/2020,Type C,Group 1,Part 1,$6442469.96,13.6,270
90,Wilow Bassick,,10/14/2020,Type A,Group 3,Part 3,$173883.13,67.59,629
91,Nariko Holdall,,12/13/2020,Type A,Group 1,Part 3,$8273156.50,21.88,184
92,Charleen Lissemore,,6/3/2020,Type B,Group 2,Part 1,$1491633.92,35.89,336
93,Lodovico Landrick,Texas,5/23/2020,Type B,Group 1,Part 2,$5524224.35,73.82,317
94,Almira Marzello,,12/6/2020,Type A,Group 2,Part 2,$9914969.40,65.69,588
95,Heidie Niese,,4/14/2020,Type C,Group 2,Part 1,$1890247.67,78.61,550
96,Mick Klein,,4/17/2020,Type C,Group 3,Part 3,$1946120.02,77.66,254
97,Melessa Anten,,12/5/2020,Type B,Group 3,Part 2,$881197.50,85.91,226
98,Rosita Riba,,8/1/2020,Type C,Group 1,Part 1,$4729605.87,41.83,600
99,Rodger Kohler,,1/3/2020,Type A,Group 2,Part 2,$1832341.44,4.52,417
100,Agretha Raysdale,,1/10/2020,Type A,Group 2,Part 1,$5005863.86,15.99,328
101,Gilburt Lux,,10/31/2020,Type A,Group 2,Part 1,$2681273.90,7.18,229
102,Myer Orry,,8/14/2020,Type B,Group 2,Part 3,$1413627.59,26.42,246
103,Cobby McCaughey,Västernorrland,3/8/2020,Type A,Group 1,Part 3,$1119584.97,46.03,643
104,Wilma Ram,Oslo,11/6/2020,Type A,Group 2,Part 3,$982721.14,26.24,133
105,Kevyn Carette,,12/22/2020,Type B,Group 1,Part 1,$2098293.62,7.61,919
106,Ado Martinec,,5/19/2020,Type B,Group 2,Part 3,$3669313.34,23.31,621
107,Nita Geard,,6/21/2020,Type B,Group 3,Part 1,$4499521.62,44.56,83
108,Tiebold Cholton,,6/17/2020,Type C,Group 2,Part 3,$2062983.93,88.81,100
109,Weidar Ocheltree,,2/7/2020,Type A,Group 3,Part 1,$7420646.91,46.02,741
110,Madella Southcott,,6/5/2020,Type C,Group 1,Part 3,$2112732.24,75.13,949
111,Maddie Darton,Tamaulipas,11/29/2020,Type C,Group 3,Part 3,$6181304.59,55.87,767
112,Aldon Emery,,6/28/2020,Type A,Group 2,Part 1,$3836679.44,10.53,419
113,Fannie Burrill,,9/24/2020,Type C,Group 3,Part 1,$1321010.35,53.75,464
114,Philipa Mussetti,,7/18/2020,Type A,Group 2,Part 2,$4321725.66,36.27,954
115,Tomas Sidebotton,,5/12/2020,Type A,Group 1,Part 2,$498168.22,28.93,459
116,Erica Lanfer,,2/24/2020,Type C,Group 2,Part 3,$7660218.60,59.11,264
117,Dido Thaxton,,9/10/2020,Type A,Group 1,Part 3,$8457775.62,46.51,764
118,Luce Truluck,,5/20/2020,Type C,Group 3,Part 2,$7944260.66,45.3,111
119,Dianna Jonczyk,,6/19/2020,Type A,Group 2,Part 3,$6949467.69,42.44,341
120,Vannie Tollet,,5/21/2020,Type C,Group 2,Part 2,$4479476.68,93.48,403
121,Dania Vesco,,4/4/2020,Type B,Group 2,Part 2,$3568121.08,7.17,850
122,Aldo Harp,,3/12/2020,Type A,Group 2,Part 2,$399047.82,57.1,27
123,Lorilyn Addicote,,9/16/2020,Type A,Group 1,Part 3,$9505699.52,7.69,333
124,Gabey Pinch,,8/13/2020,Type A,Group 2,Part 1,$7325708.17,44.36,977
125,Leonerd Davy,,1/20/2020,Type B,Group 1,Part 3,$7024859.71,29.81,205
126,Kippie Feaver,,6/22/2020,Type A,Group 1,Part 1,$5242046.71,56.85,732
127,Gabby Sego,,7/28/2020,Type A,Group 2,Part 2,$7192080.34,71.48,753
128,Whitney Cater,,11/2/2020,Type B,Group 3,Part 2,$2758577.02,8.64,717
129,Bryan Chasier,,4/2/2020,Type A,Group 1,Part 3,$6775677.39,85.5,366
130,Helene Vooght,Ohio,4/6/2020,Type A,Group 1,Part 1,$3204089.15,90.34,978
131,Fernando Saines,,1/20/2020,Type B,Group 2,Part 3,$679847.72,13.2,377
132,Rhys De Simoni,,1/2/2020,Type C,Group 1,Part 3,$4381354.02,17.45,222
133,Karlens Pratte,,9/22/2020,Type B,Group 1,Part 3,$725925.81,90.89,480
134,Emalee Beilby,,11/20/2020,Type C,Group 2,Part 2,$2305989.47,99.4,539
135,Karlotte Lubeck,,7/28/2020,Type A,Group 2,Part 1,$8729323.10,11.43,546
136,Konstantin Surby,,5/31/2020,Type C,Group 3,Part 1,$7646431.36,32.35,212
137,Jordan Nevison,,3/10/2020,Type B,Group 1,Part 1,$9080144.55,18.83,7
138,Katey Reede,,12/26/2020,Type A,Group 3,Part 2,$878202.67,57.31,126
139,Dorey Coltart,,11/14/2020,Type C,Group 1,Part 1,$166851.52,41.33,263
140,Shepperd Nasi,Braga,6/28/2020,Type A,Group 1,Part 1,$9030031.42,66.93,13
141,Elmore Errol,,9/14/2020,Type B,Group 1,Part 2,$6973496.97,40.88,596
142,Patience Towll,Connecticut,3/6/2020,Type C,Group 3,Part 1,$2867952.07,69.42,325
143,Kippar Caslett,,3/5/2020,Type C,Group 2,Part 1,$3039934.80,86.51,237
144,Jareb Jayume,,5/25/2020,Type A,Group 3,Part 3,$182801.31,30.5,362
145,Ruby Jorcke,Faro,11/25/2020,Type C,Group 2,Part 1,$5368197.26,28.4,270
146,Josey Thairs,,11/9/2020,Type A,Group 2,Part 3,$6963417.20,33.46,186
147,Duff Shortland,,10/3/2020,Type C,Group 2,Part 1,$4727757.99,50.26,354
148,Jim Lilleman,Nord-Pas-de-Calais,5/15/2020,Type A,Group 3,Part 2,$9711322.03,33.97,696
149,Wandis Churm,,3/9/2020,Type C,Group 1,Part 3,$5832668.95,42.8,7
150,Crysta Bacup,Provence-Alpes-Côte d'Azur,2/21/2020,Type A,Group 1,Part 3,$5860546.60,82.83,592
151,Van Fellow,,7/24/2020,Type B,Group 1,Part 3,$5770080.79,61.96,569
152,Consuela Martensen,,3/22/2020,Type A,Group 1,Part 2,$9263588.02,62.37,228
153,Eva Dillet,,7/29/2020,Type A,Group 1,Part 3,$6592307.69,86.16,177
154,Torrey Exeter,,3/2/2020,Type A,Group 1,Part 3,$7446198.74,1.49,382
155,Lacee Symms,Washington,2/5/2020,Type B,Group 1,Part 3,$4203263.06,36.32,829
156,Katerina Cripwell,Blekinge,1/9/2020,Type A,Group 3,Part 1,$4964409.56,44.23,236
157,Colet Girardin,,1/28/2020,Type A,Group 3,Part 2,$5098401.00,61.06,466
158,Jude Tissiman,Braga,9/9/2020,Type A,Group 3,Part 3,$7224129.65,18.74,830
159,Ole Renouf,,9/28/2020,Type A,Group 3,Part 1,$9791491.46,97.69,877
160,Gayler Pasque,,3/24/2020,Type B,Group 2,Part 2,$9090644.85,32.61,408
161,Tildi Paolicchi,,12/22/2020,Type C,Group 2,Part 3,$5507639.02,56.87,576
162,Tomlin Trethewey,Skåne,3/30/2020,Type C,Group 2,Part 1,$7996712.55,62.49,372
163,Reinhold Boutwell,,3/31/2020,Type C,Group 1,Part 3,$5963914.53,38.89,196
164,Emilio Jeaycock,,7/30/2020,Type B,Group 2,Part 3,$7713275.72,97.48,1
165,Vi Ayscough,,6/7/2020,Type B,Group 2,Part 3,$8400914.31,7.03,445
166,Corina Hourstan,,7/21/2020,Type C,Group 2,Part 2,$9006506.01,40.32,859
167,Debby Griffitt,,1/17/2020,Type A,Group 3,Part 3,$7999353.74,84.64,475
168,Brook Laugier,,4/6/2020,Type C,Group 3,Part 1,$9168672.91,14.73,532
169,Oriana Stirton,,6/14/2020,Type B,Group 3,Part 1,$7618489.15,79.74,322
170,Adrianne Frensch,,4/9/2020,Type C,Group 2,Part 2,$3351291.50,74.02,170
171,Ram Spurryer,,11/28/2020,Type C,Group 3,Part 3,$8043003.80,50.96,348
172,Moyra Henden,,11/3/2020,Type C,Group 2,Part 2,$4782799.62,0.17,92
173,Rona Jerrams,,1/14/2020,Type B,Group 2,Part 1,$7328790.98,59.95,277
174,Enrika Train,,1/1/2020,Type B,Group 1,Part 3,$8376050.60,10.74,67
175,Bret Cuthill,,7/21/2020,Type A,Group 3,Part 1,$9370203.38,14.48,599
176,Katerine Janczak,,8/19/2020,Type C,Group 2,Part 2,$7083546.22,13.23,319
177,Cecil Oriel,Vest-Agder,8/1/2020,Type C,Group 3,Part 1,$9160604.19,99.12,579
178,Katharine Sparkwell,,10/28/2020,Type B,Group 2,Part 1,$4303741.45,11.81,257
179,Gregorio Stansbie,Alaska,2/3/2020,Type C,Group 2,Part 1,$3891501.74,93.09,257
180,Consuela Khomich,,12/28/2020,Type A,Group 2,Part 3,$3622445.86,27.96,733
181,Kelcy Blazek,,2/28/2020,Type A,Group 3,Part 2,$7521705.96,84.6,104
182,Joanie Delleschi,,6/12/2020,Type A,Group 3,Part 1,$782686.80,18.92,456
183,Meta Lithcow,Minnesota,7/25/2020,Type C,Group 2,Part 3,$2830433.79,55.86,122
184,Winna Shergill,Oslo,8/12/2020,Type A,Group 3,Part 2,$6937078.98,58.6,140
185,Travis Kelway,,2/26/2020,Type C,Group 2,Part 2,$614170.79,75.02,714
186,Bernardine Neesam,,5/1/2020,Type C,Group 1,Part 1,$4572245.49,6.07,514
187,Ritchie Keynes,England,8/21/2020,Type C,Group 2,Part 2,$1290845.67,88.56,57
188,Giselbert Carass,,3/6/2020,Type C,Group 1,Part 1,$3183403.23,17.57,692
189,Ivonne Pluck,,3/24/2020,Type C,Group 2,Part 3,$839944.51,86.28,549
190,Ewart Kelshaw,Thüringen,10/14/2020,Type C,Group 1,Part 2,$1732017.79,59.04,400
191,Alessandra Sibbert,,1/28/2020,Type B,Group 2,Part 3,$2264334.60,21.28,341
192,Alisander Emmer,,11/2/2020,Type B,Group 1,Part 1,$5606075.22,14.24,13
193,Gaby McGinn,Alsace,4/1/2020,Type A,Group 2,Part 3,$4235616.44,98.64,418
194,Skye Edbrooke,,2/26/2020,Type B,Group 1,Part 2,$7246605.43,63.78,992
195,Virgie Filip,,3/24/2020,Type A,Group 1,Part 1,$6890643.88,63.96,12
196,Vladamir Jardin,,6/30/2020,Type C,Group 3,Part 2,$173414.31,28.13,662
197,Algernon Mansel,,12/21/2020,Type A,Group 3,Part 3,$4830013.32,86.25,678
198,Kellen Whittall,,8/24/2020,Type C,Group 1,Part 3,$3895785.72,69.75,279
199,Sue Munkton,,2/23/2020,Type C,Group 1,Part 3,$3584040.36,50.4,944
200,Claudio Ashness,,1/1/2020,Type C,Group 2,Part 1,$2556733.83,54.33,913
201,Coralie Cove,,1/7/2020,Type C,Group 3,Part 2,$4624076.50,20.21,860
202,Karlen Ingrey,,10/5/2020,Type A,Group 1,Part 2,$2359711.55,4.07,643
203,Catlaina Stutt,,1/15/2020,Type C,Group 3,Part 1,$2221483.48,49.77,602
204,Izzy Hallatt,Victoria,9/20/2020,Type C,Group 3,Part 3,$6550038.12,7.63,196
205,Kelsi Maude,,8/22/2020,Type C,Group 1,Part 2,$5818913.66,93.86,741
206,Jacqui Glashby,,2/18/2020,Type C,Group 3,Part 2,$815477.87,45.92,31
207,Rita Formby,,4/11/2020,Type A,Group 2,Part 1,$8833424.98,98.02,382
208,Josias Churchley,,4/24/2020,Type B,Group 1,Part 1,$7294419.23,80.06,402
209,Doroteya Jillis,,4/4/2020,Type B,Group 3,Part 3,$2505189.44,28.39,836
210,Janella Jina,,5/16/2020,Type B,Group 3,Part 1,$2454919.52,74.12,742
211,Abra Hartil,,6/29/2020,Type A,Group 2,Part 2,$9491947.36,6.14,273
212,Gerrilee Kehri,,4/7/2020,Type A,Group 3,Part 3,$7465708.52,87.71,144
213,Quinn Thrustle,,2/4/2020,Type C,Group 1,Part 3,$9771441.71,52.77,69
214,Kincaid Sawrey,,9/2/2020,Type C,Group 1,Part 3,$6990432.74,5.26,717
215,Kailey Goodsell,,2/4/2020,Type C,Group 3,Part 1,$1162037.50,42.06,230
216,Carlota Sawers,,4/4/2020,Type A,Group 1,Part 3,$6760841.23,61.84,967
217,Lynn Koubu,,6/17/2020,Type A,Group 3,Part 2,$9747109.94,74.89,154
218,Pooh Charrisson,,11/15/2020,Type C,Group 1,Part 1,$7019928.46,57.09,638
219,Emalia Jansie,Guerrero,4/30/2020,Type B,Group 3,Part 2,$874333.72,62.13,20
220,Theda Braunes,,8/1/2020,Type B,Group 1,Part 3,$3285759.37,56.56,216
221,Winnie Sellack,,11/10/2020,Type C,Group 3,Part 1,$1803182.43,5.79,751
222,Lamond Kleinschmidt,,6/8/2020,Type C,Group 3,Part 3,$560787.73,76.81,368
223,Batholomew Humble,,11/7/2020,Type C,Group 3,Part 1,$5441954.88,64.09,956
224,Remy Edgeller,,1/22/2020,Type B,Group 2,Part 3,$9911373.81,72.76,989
225,Aldis Medmore,,10/10/2020,Type C,Group 2,Part 1,$6856849.23,26.7,298
226,Welby Dengate,,7/14/2020,Type A,Group 2,Part 1,$8185451.93,3.48,950
227,Libbie Othick,,2/6/2020,Type C,Group 3,Part 1,$5762842.36,6.76,928
228,Mart Polly,,9/16/2020,Type B,Group 2,Part 3,$8557447.09,85.72,130
229,Farlay Gordge,,11/26/2020,Type A,Group 1,Part 2,$8745710.19,99.62,340
230,Yoko Salery,,4/10/2020,Type B,Group 2,Part 1,$8941476.31,44.54,656
231,Kit Izod,,2/4/2020,Type B,Group 2,Part 2,$9253594.83,59.93,769
232,Jannel Ranaghan,,7/18/2020,Type B,Group 3,Part 2,$4571831.65,71.12,45
233,Brennen Rousell,,8/12/2020,Type A,Group 1,Part 3,$4422299.64,13.81,937
234,Deanna Barnsdale,,4/10/2020,Type B,Group 2,Part 1,$4943202.41,67.01,549
235,Tansy Frankiewicz,,7/21/2020,Type B,Group 1,Part 2,$7828569.55,28.59,373
236,Osbourn Treend,,10/29/2020,Type B,Group 2,Part 3,$2185342.75,93.11,341
237,Ursuline Shee,,6/18/2020,Type B,Group 1,Part 1,$3344178.97,72.2,159
238,Benedetta Begent,,1/22/2020,Type B,Group 1,Part 3,$3162256.31,52.79,534
239,Nat Simmill,,10/11/2020,Type C,Group 2,Part 3,$6048898.15,95.86,185
240,Stevena Nickell,,12/3/2020,Type B,Group 3,Part 3,$2373524.79,74.9,276
241,Dorolisa Loker,,2/16/2020,Type A,Group 3,Part 1,$1463982.35,58.75,977
242,Terrye Lintott,,7/12/2020,Type C,Group 1,Part 1,$6972545.39,57.21,612
243,Langsdon Kevane,,3/29/2020,Type C,Group 3,Part 3,$1185195.17,26.49,600
244,Nikkie Lasham,,6/25/2020,Type A,Group 2,Part 1,$346485.09,92.81,856
245,Naoma Crowder,,6/29/2020,Type B,Group 3,Part 1,$3606253.38,51.48,693
246,Shaylyn Gatteridge,,12/28/2020,Type B,Group 2,Part 2,$9571870.66,0.75,122
247,Paula Dat,,9/18/2020,Type B,Group 1,Part 3,$5517763.25,61.24,800
248,Morton Venton,,1/2/2020,Type A,Group 2,Part 2,$5596118.97,87.18,930
249,Rancell Errichi,Porto,5/28/2020,Type A,Group 2,Part 1,$3567299.15,4.19,722
250,Lauralee Martyn,,11/23/2020,Type B,Group 2,Part 3,$6905342.99,99.24,742
251,Carlynne Yashanov,,12/23/2020,Type A,Group 1,Part 1,$5782895.75,83.03,884
252,Malissa Blackstock,West Virginia,9/3/2020,Type B,Group 3,Part 3,$7348609.71,68.29,36
253,Jesse Kinane,,6/27/2020,Type C,Group 1,Part 3,$4968263.31,55.44,916
254,Derwin McLellan,,1/14/2020,Type A,Group 1,Part 1,$8813281.13,40.6,103
255,Marian Grassick,,5/26/2020,Type A,Group 2,Part 2,$9217103.27,98.49,793
256,Catarina Yarrington,,12/26/2020,Type C,Group 2,Part 2,$1642553.87,61.24,558
257,Maridel Haslum,,1/4/2020,Type C,Group 3,Part 3,$832360.65,50.45,131
258,Alain Witham,,3/29/2020,Type B,Group 2,Part 1,$4211419.81,10.91,677
259,Arliene Luard,Viana do Castelo,8/23/2020,Type A,Group 2,Part 2,$979761.99,35.46,952
260,Wenona Coale,,4/12/2020,Type C,Group 2,Part 1,$5629343.29,44.6,534
261,Tito Matasov,,3/30/2020,Type C,Group 1,Part 2,$920528.30,97.95,8
262,Wesley Baseggio,,2/15/2020,Type C,Group 3,Part 2,$2401180.37,72.41,739
263,Leonanie Fearnley,,12/22/2020,Type A,Group 2,Part 2,$5238447.81,64.12,3
264,Patty Redihough,Berlin,10/21/2020,Type A,Group 1,Part 1,$9856253.90,24.66,584
265,Gratia Becke,,10/10/2020,Type C,Group 2,Part 3,$1942098.81,35.71,925
266,Fiona Benzi,,3/25/2020,Type B,Group 2,Part 2,$2620094.26,56.66,743
267,Hyatt Koubu,,11/19/2020,Type B,Group 1,Part 2,$1538377.79,90.77,418
268,Kathryne Farnin,,3/28/2020,Type C,Group 3,Part 1,$5779343.00,7.85,543
269,Dierdre Bown,Västra Götaland,3/4/2020,Type B,Group 1,Part 1,$744478.30,29.05,546
270,Ruy Fall,,6/7/2020,Type A,Group 1,Part 1,$5605364.70,18.25,702
271,Mada Glenny,,3/22/2020,Type C,Group 3,Part 3,$5239508.23,33.33,544
272,Jena Geertsen,,5/2/2020,Type B,Group 2,Part 1,$5622016.71,7.08,607
273,Cherise Krammer,British Columbia,4/2/2020,Type B,Group 1,Part 3,$9400229.79,35.21,747
274,Ashli Caiger,,11/19/2020,Type B,Group 2,Part 2,$7284030.85,56.12,648
275,Danita Purvis,,6/24/2020,Type A,Group 3,Part 2,$5780510.62,67.15,475
276,Sephira Dearan,Mexico,8/12/2020,Type A,Group 1,Part 2,$3817722.80,87.4,450
277,Laureen Leavy,,12/20/2020,Type B,Group 1,Part 1,$9495245.07,89.06,419
278,Christean Leftley,,8/25/2020,Type C,Group 2,Part 3,$9861235.41,22.04,428
279,Noe Zarb,,4/12/2020,Type C,Group 1,Part 3,$170539.32,86.36,733
280,Denny Lies,,7/4/2020,Type B,Group 1,Part 3,$9979855.19,75.32,710
281,Loise Zimek,Dalarna,1/9/2020,Type B,Group 1,Part 2,$8452556.81,69.4,997
282,Wynny Choke,,6/11/2020,Type A,Group 3,Part 2,$4508867.69,80.55,334
283,Stefano Samsonsen,,1/18/2020,Type C,Group 1,Part 3,$4149748.58,36.3,137
284,Yvonne Layman,,3/16/2020,Type C,Group 1,Part 1,$2174013.84,67.74,20
285,Anet Bayles,Västerbotten,2/14/2020,Type C,Group 2,Part 2,$5085829.09,32.88,399
286,Deny De Giorgio,,8/18/2020,Type A,Group 1,Part 3,$3634469.80,49.06,470
287,Dionisio Chancelier,,12/28/2020,Type A,Group 3,Part 2,$9478413.86,34.73,102
288,Alanah Allgood,,7/20/2020,Type C,Group 3,Part 3,$5475526.56,71.69,979
289,Dolorita Benbrick,,11/10/2020,Type A,Group 3,Part 3,$8337223.96,93.02,589
290,Kristen Stebbings,,2/26/2020,Type B,Group 1,Part 3,$3377188.89,53.24,115
291,Geri Bracco,,2/27/2020,Type A,Group 1,Part 2,$198904.56,89.29,375
292,Camilla Cashman,,12/5/2020,Type A,Group 1,Part 2,$8040691.48,93.31,598
293,Bryana Robak,,11/27/2020,Type A,Group 2,Part 3,$5721806.08,78.14,814
294,Gerrilee Nelthorpe,,6/15/2020,Type B,Group 1,Part 2,$5505193.37,11.33,336
295,Emmi Blondin,,8/16/2020,Type A,Group 3,Part 3,$4371056.67,40.49,948
296,Mona Ossipenko,,2/6/2020,Type B,Group 2,Part 2,$3864200.95,29.3,915
